orphacode,Prevalence,Inheritance,Age of onset,Synonym
319698,-, - ,,"NON RARE IN EUROPE: Partial achromatopsia, deutan type"
319678,<1 / 1 000 000,Autosomal recessive,Neonatal,
319705,-, - ,,
320317,-, - ,,
320332,-, - ,,
320335,-, - ,,Pure or complex familial spastic paraplegia
320342,-,Autosomal dominant,,Pure or complicated autosomal dominant spastic paraplegia
319719,-, - ,,
320355,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",SPG41
320350,-, - ,,Pure or complicated X-linked spastic paraplegia
320346,-,Autosomal recessive,,Pure or complicated autosomal recessive spastic paraplegia
320360,<1 / 1 000 000,Mitochondrial inheritance,Adult,Maternally-inherited spastic paraplegia
320365,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",SPG36
320380,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",SPG54
320370,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",SPG43
320375,<1 / 1 000 000,Autosomal recessive,Childhood,SPG55
320385,<1 / 1 000 000,Autosomal recessive,Infancy,HSAN due to TECPR2 mutation
320391,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",SPG46
320396,<1 / 1 000 000,Autosomal recessive,Infancy,Autosomal recessive spastic paraplegia type 65
320401,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult",SPG44
320406,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",SPOAN
320411,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",SPG56
322126,-, - ,,
324290,<1 / 1 000 000,Autosomal recessive,Childhood,Early-onset Lafora body disease
324294,<1 / 1 000 000,Autosomal recessive,Childhood,T-cell immunodeficiency due to RHOH deficiency
324299,<1 / 1 000 000,Not applicable,Childhood,Multiple paragangliomas associated with erythrocytosis
324262,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive congenital cerebellar ataxia due to metabotropic glutamate receptor 1 deficiency
324307,<1 / 1 000 000,Unknown,Childhood,
324313,<1 / 1 000 000,"Not applicable, Unknown","Infancy, Neonatal",Del(9)(p13)
324364,<1 / 1 000 000, - ,Neonatal,
324321,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Sinoatrial node dysfunction and hearing loss
324353,Unknown, - ,"Infancy, Neonatal",
324410,<1 / 1 000 000,X-linked recessive,"Infancy, Neonatal",
324381,<1 / 1 000 000,Autosomal dominant,Adult,HIBM4
324416,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
324422,<1 / 1 000 000,X-linked recessive,"Infancy, Neonatal",Congenital disorder of glycosylation type Is
324530,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",APLAID
324525,<1 / 1 000 000,No data available,"Infancy, Neonatal",Hypertrophic cardiomyopathy with kidney anomalies due to mtDNA mutation
324535,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",COXPD11
324442,<1 / 1 000 000,Autosomal recessive,Childhood,ARAN-NM
324569,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",PCH8
324540,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Aphonia-hearing loss-retinal dystrophy-duplicated halluces-intellectual disability syndrome
324561,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Cole disease
324575,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Hyperinsulinemic hypoglycemia due to HNF1A deficiency
324581,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
324585,<1 / 1 000 000,Autosomal dominant,All ages,Autosomal dominant intermediate CMT disease with neuropathic pain
324588,<1 / 1 000 000,Autosomal dominant,Childhood,FDFM
324601,Unknown,"X-linked dominant, X-linked recessive","Infancy, Neonatal",
324625,Unknown,Not applicable,All ages,
324604,-,Autosomal recessive,"Infancy, Neonatal",Classic MmD
324611,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly, Infancy",CMT2 due to KIF5A mutation
324632,<1 / 1 000 000, - ,All ages,
324636,Unknown, - ,Adult,GDS
324648,Unknown, - ,All ages,Invasive non-typhoidal salmonella disease
324703,<1 / 1 000 000,Autosomal dominant,"Adult, Elderly",ABetaL34V-related amyloidosis
324708,<1 / 1 000 000,Autosomal dominant,Elderly,ABetaD23N amyloidosis
324718,<1 / 1 000 000,Autosomal dominant,Adult,ABetaA21G-related amyloidosis
324723,<1 / 1 000 000,Autosomal dominant,"Adult, Elderly",ABetaE22G amyloidosis
324737,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CDG-Iq
324713,<1 / 1 000 000,Autosomal dominant,"Adult, Elderly",ABetaE22K amyloidosis
324761,-, - ,,
324764,-, - ,,
324767,-, - ,,
324924,-, - ,,
324930,-, - ,,
324927,-, - ,,
324933,-, - ,,
324936,-, - ,"Antenatal, Infancy, Neonatal",
324942,-, - ,,
324939,-, - ,,
324950,-, - ,,
324953,-, - ,,
324964,1-9 / 1 000 000,Not applicable,"Adolescent, Childhood",CNO/CRMO
324977,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",ALDD syndrome
324982,-, - ,,OBSOLETE: Adult-onset synovitis-acne-pustulosis-hyperostosis-osteitis syndrome
324960,-, - ,,
324972,<1 / 1 000 000, - ,"Adolescent, Adult, Childhood",Mouth and genital ulcers-inflamed cartilage syndrome
324999,-, - ,,Joint contractures-muscular atrophy-microcytic anemia-panniculitis-associated lipodystrophy syndrome
324989,-, - ,,OBSOLETE: Juvenile-onset synovitis-acne-pustulosis-hyperostosis-osteitis syndrome
325004,-, - ,,Chronic atypical neutrophilic dermatosis-lipodystrophy-elevated temperature syndrome
325093,-, - ,,"46,XX DSD induced by endogenous maternal-derived androgen"
325099,-, - ,,"46,XX DSD induced by exogenous maternal-derived androgen"
325055,-, - ,,
325124,1-9 / 100 000, - ,Neonatal,Bilateral anorchia
325109,-, - ,,"Syndrome with 46,XX DSD"
325061,-, - ,,"46,XX DSD induced by fetoplacental androgens excess"
325118,-, - ,,
325345,1-9 / 100 000, - ,"Antenatal, Neonatal","46,XY ovotesticular DSD"
325448,-,Autosomal recessive,,"46,XY DSD due to LHB deficiency"
325511,-, - ,,"46,XY DSD due to a cholesterol synthesis defect"
325351,-, - ,,"46,XY DSD of endocrine origin"
325357,-, - ,,"46,XY DSD due to impaired androgen production"
325524,-,Autosomal recessive,,Classic CLAH
325529,-,Autosomal recessive,,
325537,-, - ,,"46,XY DSD induced by maternal-exposure to endocrine disruptors"
325620,-, - ,,DSD of gynecological interest
325546,-, - ,,Sex chromosome DSD
325632,-, - ,,"46,XY DSD of gynecological interest"
325697,-, - ,,"Genetic 46,XX DSD"
325638,-, - ,,Syndrome with DSD of gynecological interest
325665,-, - ,,Genetic DSD of gynecological interest
325690,-, - ,,Genetic DSD
325706,-, - ,,"Genetic 46,XY DSD"
328269,-, - ,,OBSOLETE: Rare bone disease with limb hypoplasia
329173,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
329191,<1 / 1 000 000,Autosomal dominant,Childhood,Tall stature-scoliosis-macrodactyly of the halluces syndrome
329195,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Developmental delay with ASD and gait instability
329178,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CDG syndrome type Iu
325713,-, - ,,"Genetic 46,XY DSD of endocrine origin"
329211,<1 / 1 000 000,Autosomal dominant,All ages,ADNIV
329217,Unknown, - ,All ages,CSVT
329206,-, - ,,OBSOLETE: Congenital muscular dystrophy-muscle hypertrophy-intellectual disability due to POMT1 syndrome
329235,<1 / 1 000 000,X-linked recessive,"Infancy, Neonatal",IGSF1 deficiency syndrome
329242,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Congenital chronic diarrhea with exudative enteropathy
329224,<1 / 1 000 000,Autosomal dominant,"Antenatal, Infancy, Neonatal",PACS1-NDD
329228,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal","Microcephalic primordial dwarfism, Walsh type"
329255,-, - ,,
329252,-, - ,,
329249,<1 / 1 000 000,Autosomal dominant,Childhood,
329258,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult",CMT2Q
329303,-, - ,,PLAN
329324,-, - ,,Cutaneous hemangioma with muscle or bone atrophy
329308,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",FAHN
329319,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Familial thrombocytosis with transverse limb defect
329314,Unknown,Autosomal recessive,Adult,Adult-onset multiple mtDNA deletion syndrome due to DGUOK deficiency
329284,<1 / 1 000 000,X-linked dominant,Childhood,BPAN
329329,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
329332,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Microcephaly-cerebellar hypoplasia-congenital heart conduction defect syndrome
329341,-, - ,,OBSOLETE: Limbic encephalitis with dipeptidyl-peptidase 6 antibodies
329336,Unknown,"Autosomal dominant, Mitochondrial inheritance",Adult,Adult-onset CPEO with mitochondrial myopathy
329457,<1 / 1 000 000,Autosomal recessive,Neonatal,DA5D
329469,Unknown,Not applicable,Childhood,Acute megakaryoblastic leukemia in children without trisomy 21
329475,<1 / 1 000 000,Autosomal dominant,Adult,
329478,<1 / 1 000 000,Autosomal dominant,Adult,
329466,<1 / 1 000 000,Autosomal dominant,Adult,DYT25
329481,<1 / 1 000 000,Autosomal dominant,"Adolescent, Adult, Childhood, Elderly",LPG
329802,<1 / 1 000 000,"Not applicable, Unknown","Infancy, Neonatal",Dup(5)(p13)
329813,<1 / 1 000 000, - ,"Antenatal, Neonatal",Androgenetic/biparental mosaicism
329874,Unknown, - ,"Adolescent, Adult, Childhood, Infancy",IGCM
329883,<1 / 1 000 000,Autosomal dominant,No data available,Hypertrophic gastropathy without hypoproteinemia
329903,Unknown,"Multigenic/multifactorial, Unknown",,Ig-mediated MPGN
329942,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Transient neonatal MAD deficiency
329888,-, - ,,JIIM
329967,Unknown, - ,Adult,
329918,-,Multigenic/multifactorial,All ages,Non-immunoglobulin-mediated membranoproliferative glomerulonephritis
329894,-, - ,"Adolescent, Childhood",
329971,Unknown,Autosomal dominant,All ages,
329984,Unknown,Not applicable,Adult,GCC
329977,Unknown,Not applicable,All ages,Classic appendix neuroendocrine tumor
329931,-,Autosomal dominant,,
330006,-, - ,,
330001,1-5 / 10 000,Not applicable,"Adult, Elderly",ATTRwt amyloidosis
330009,-, - ,,
329998,-, - ,,
330012,1-9 / 1 000 000, - ,All ages,HAPE
330029,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Hypotrichosis-hearing loss syndrome
330015,1-9 / 100 000,Not applicable,All ages,Lead intoxication
330021,1-9 / 100 000,Not applicable,All ages,Hydrargyria
330058,1-9 / 1 000 000,Not applicable,Childhood,
330061,Unknown,"Multigenic/multifactorial, Not applicable",Childhood,Familial polymorphous light eruption of American Indians
330197,-, - ,,OBSOLETE: Genetic MCA/variable MR
330050,<1 / 1 000 000,Autosomal dominant,"Childhood, Infancy, Neonatal",
330064,1-5 / 10 000,Not applicable,Adult,Actinic reticuloid
330032,Unknown,Autosomal recessive,No data available,HbLepore-beta-thalassemia syndrome
330054,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Congenital cataract-progressive muscular hypotonia-deafness-developmental delay syndrome
330041,Unknown,Autosomal dominant,No data available,M hemoglobinopathy
331187,<1 / 1 000 000,Autosomal recessive,Adolescent,
331176,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",SCN due to G6PC3 deficiency
331206,1-9 / 100 000,Autosomal recessive,Infancy,SCID due to complete RAG1/2 deficiency
331190,<1 / 1 000 000,Autosomal recessive,Childhood,
331193,-, - ,,
330206,-, - ,,Genetic MCA
331184,-, - ,,Syndrome with constitutional neutropenia as a major feature
331220,-, - ,,
331226,<1 / 1 000 000,Autosomal recessive,Infancy,
331223,-, - ,,
331232,-, - ,,
331240,-, - ,,
331235,Unknown, - ,All ages,Selective immunoglobulin M deficiency
331217,-, - ,,
352298,-, - ,,
331249,-, - ,,Primary HLH with hypopigmentation
352301,-, - ,,
331244,-, - ,,
352309,-, - ,,
352328,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",3-methylglutaconic aciduria with deafness-encephalopathy-Leigh-like syndrome
352312,-, - ,,
352333,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",ELOVL4-related neuro ichthyosis
352447,<1 / 1 000 000,Autosomal recessive,All ages,Mitochondrial DNA maintenance syndrome due to MGME1 deficiency
352403,<1 / 1 000 000,Autosomal recessive,Infancy,Infantile-onset spinocerebellar ataxia-psychomotor delay syndrome
352306,-, - ,,
352456,-, - ,,mtDNA maintenance syndrome
352470,<1 / 1 000 000,Autosomal dominant,All ages,Mitochondrial DNA deletion syndrome with limb-girdle weakness
352482,-, - ,,OBSOLETE: Autosomal recessive LGMD with cerebellar involvement
352479,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",LGMD2U
352487,-, - ,,
352497,-, - ,,
352490,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",ASD due to AUTS2 deficiency
352540,Unknown,Not applicable,All ages,Oncogenic hypophosphatemic osteomalacia
352530,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive intellectual disability due to TRAPPC9 deficiency
352577,<1 / 1 000 000,"Autosomal dominant, Not applicable","Antenatal, Infancy, Neonatal",Severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome
352582,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",FIME
352563,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",COXPD16
352504,-, - ,,OBSOLETE: L-DOPA-unresponsive juvenile parkinsonism
352587,<1 / 1 000 000,Autosomal recessive,Infancy,Focal epilepsy-intellectual disability-dysarthria-ataxia syndrome
352613,-, - ,,
352636,<1 / 1 000 000,Not applicable,Childhood,Phalangeal osteolysis
352629,<1 / 1 000 000,"Not applicable, Unknown","Infancy, Neonatal",Del(16)(q24.1)
352596,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",PMED
352649,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
352641,<1 / 1 000 000,Autosomal recessive,"Adolescent, Childhood",Autosomal recessive cerebellar ataxia due to GBA2 deficiency
352654,<1 / 1 000 000,Autosomal recessive,Childhood,Autosomal recessive spastic paraplegia type 79
352665,<1 / 1 000 000,"Not applicable, Unknown","Infancy, Neonatal",9q21.3 microdeletion syndrome
352662,<1 / 1 000 000,Autosomal dominant,All ages,
352675,<1 / 1 000 000,X-linked dominant,Childhood,CMT6X
352694,-, - ,,OBSOLETE: Lissencephaly type 2A
352682,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",Cobblestone lissencephaly without muscular or eye involvement
352687,-, - ,,Lissencephaly type 2 with muscular and ocular involvement
352704,-, - ,,OBSOLETE: Lissencephaly type 2B
352699,-, - ,,OBSOLETE: Lissencephaly type 2C
352657,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",HBID
352709,-, - ,,Kufs disease type B
352712,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",FILS syndrome
352718,<1 / 1 000 000,Autosomal recessive,Childhood,Retinol dystrophy-iris coloboma-comedogenic acne syndrome
352670,<1 / 1 000 000,Autosomal dominant,All ages,CMTDIF
352728,-, - ,,
352723,<1 / 1 000 000,Autosomal recessive,Childhood,Atypical Chédiak-Higashi syndrome
352734,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",MP OCA type 1
352740,-, - ,,Waardenburg syndrome type 2 with ocular albinism
352731,1-9 / 100 000,Autosomal recessive,"Infancy, Neonatal",OCA1
352763,Unknown,Not applicable,"Adolescent, Adult, Childhood, Infancy",Buschke scleredema
352737,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",OCA1-TS
352745,<1 / 1 000 000,Autosomal recessive,Neonatal,OCA7
353220,Unknown,Autosomal dominant,All ages,FPLCA
353217,-,Autosomal recessive,,AGC1 deficiency
353225,-, - ,,NON RARE IN EUROPE: POAG
353253,Unknown, - ,Adult,Stomatopyrosis
353308,Unknown,Autosomal recessive,Infancy,Pyruvate carboxylase deficiency type A
353314,Unknown,Autosomal recessive,"Infancy, Neonatal",Pyruvate carboxylase deficiency type B
353284,<1 / 1 000 000,Autosomal dominant,Neonatal,
353281,-,Not applicable,"Antenatal, Neonatal",
353277,-,Autosomal dominant,"Antenatal, Neonatal",
353334,<1 / 1 000 000, - ,"Infancy, Neonatal",Congenital arteriovenous anastomoses of the retina
353344,-, - ,,Aneurysmal telangiectasia
353327,Unknown,Autosomal recessive,"Infancy, Neonatal",
353320,<1 / 1 000 000,Autosomal recessive,Infancy,Pyruvate carboxylase deficiency type C
353356,-, - ,,Retinal vasoproliferative tumor
353351,-, - ,,Occlusive idiopathic juxtafoveolar retinal telangiectasis
356947,-, - ,,Del(3)(q26q27)
356961,<1 / 1 000 000,Unknown,"Infancy, Neonatal",CDG syndrome type IIm
356978,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Combined D-2-hydroxyglutaric acidemia and L-2-hydroxyglutaric acidemia
357001,<1 / 1 000 000,Unknown,"Infancy, Neonatal",Del(19)(p13.13)
356996,<1 / 1 000 000,Autosomal recessive,Childhood,
353298,<1 / 1 000 000,Autosomal recessive,"Antenatal, Neonatal",Spondyloepiphyseal dysplasia-retinal dystrophy-immunodeficiency syndrome
357027,Unknown,Autosomal dominant,"Infancy, Neonatal",
357008,<1 / 1 000 000,"Autosomal recessive, Not applicable",Infancy,HUS with DGKE deficiency
357034,Unknown,Not applicable,"Infancy, Neonatal",
357064,-,Autosomal recessive,,"ARCL2, progeroid type"
357043,<1 / 1 000 000,Autosomal dominant,"Adolescent, Childhood",ALS4
357074,-,Autosomal recessive,"Infancy, Neonatal","ARCL2, Debré type"
357107,-, - ,,ATOS
357154,Unknown, - ,All ages,OSMF
357058,-,Autosomal recessive,Neonatal,ARCL2A
357158,<1 / 1 000 000, - ,"Infancy, Neonatal",Macroblepharon-ectropion-hypertelorism-macrostomia syndrome
357220,-, - ,,
357175,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
357225,-, - ,"Adolescent, Childhood, Infancy, Neonatal",
357237,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CID due to CARD11 deficiency
357332,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Synactyly-camptodactyly and clinodactyly of fifth fingers-bifid halluces syndrome
357131,-, - ,,Effort subclavian vein thrombosis
357502,Unknown, - ,All ages,
357329,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CID due to IL21R deficiency
357506,-, - ,,
363266,-, - ,,
363245,-, - ,,
363189,-, - ,,
363203,-, - ,,
363294,-, - ,,
363250,-, - ,,
363300,-, - ,,
363412,<1 / 1 000 000,Autosomal recessive,"Adolescent, Infancy, Neonatal",HBSL
363396,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",High myopia-sensorineural hearing loss syndrome
363314,-, - ,,Familial intestinal polyposis
363400,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Severe neurodegenerative syndrome due to BSCL2 deficiency
363306,-, - ,,
363417,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
363409,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Lethal congenital contracture syndrome type 5
363424,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",IBA57 deficiency
363432,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Autosomal recessive congenital cerebellar ataxia due to ionotropic glutamate receptor delta-2 subunit deficiency
363454,<1 / 1 000 000,Autosomal dominant,"Antenatal, Childhood, Infancy, Neonatal",SMALED2
363429,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
363447,<1 / 1 000 000,Autosomal dominant,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Lower extremity-predominant autosomal dominant proximal spinal muscular atrophy
363478,<1 / 1 000 000, - ,Adult,Adenocarcinoma of the paratestis
363483,<1 / 1 000 000, - ,"Adolescent, Adult, Childhood, Infancy",Teratoma of the testis
363489,-, - ,"Adolescent, Adult",Testicular sex cord-stromal tumor
363494,-,Not applicable,Adult,Non-dysgerminomatous germ cell tumor of testis
363534,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal","mtDNA depletion syndrome, hepatocerebrorenal form"
363528,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
363504,-, - ,,Testicular germ cell tumor
363444,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Beaulieu-Boycott-Innes syndrome
363523,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Shaheen syndrome
363472,Unknown, - ,,Testicular and paratesticular tumor
363540,<1 / 1 000 000,Autosomal recessive,All ages,
363549,Unknown, - ,"Infancy, Neonatal",AESD
363558,Unknown, - ,Adult,NORSE
363543,-, - ,,Autosomal recessive limb-girdle muscular dystrophy due to desmin deficiency
363579,-, - ,,
363582,-, - ,,
363611,<1 / 1 000 000,Autosomal dominant,"Antenatal, Childhood, Infancy, Neonatal",
363618,<1 / 1 000 000,Autosomal dominant,Childhood,LCPS
363567,Unknown, - ,All ages,
363629,-, - ,,OBSOLETE: GMPPB-related CMD
363649,<1 / 1 000 000,Autosomal dominant,Childhood,MDPL syndrome
363654,<1 / 1 000 000,X-linked recessive,"Adolescent, Adult",XPDS
363659,Unknown, - ,"Infancy, Neonatal",Dup(20)(q11.2)
363680,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",Del(2)(p13.2)
363677,<1 / 1 000 000,Autosomal recessive,Childhood,
363623,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy, Neonatal",LGMD2T
363686,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
363710,<1 / 1 000 000,Autosomal dominant,Adult,SCA37
363700,-,Autosomal dominant,"Infancy, Neonatal",Von Recklinghausen disease due to NF1 mutation or intragenic deletion
363665,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal","Premature aging syndrome, Penttinen type"
363705,<1 / 1 000 000,Unknown,Neonatal,Cantu craniofaciofrontodigital syndrome
363722,Unknown,Autosomal dominant,"Adolescent, Adult, Childhood",AxD type II
363694,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",HUPRA syndrome
363727,<1 / 1 000 000,X-linked recessive,All ages,
363746,Unknown,Not applicable,All ages,Balint-Holmes syndrome
363717,Unknown,Not applicable,"Infancy, Neonatal",AxD type I
363741,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
363958,1-9 / 100 000,Autosomal dominant,"Infancy, Neonatal",Del(17)(q21.31)
363969,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
363965,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",
363972,-,Autosomal dominant,"Infancy, Neonatal",CBL syndrome
363976,Unknown,Not applicable,Adult,Osteoclastoma
363981,<1 / 1 000 000,Autosomal recessive,Childhood,CMT4B3
363989,-,Autosomal recessive,,
363992,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",15q26.3 microdeletion syndrome
363999,Unknown,Not applicable,"Antenatal, Neonatal",Non-immune HF
364028,<1 / 1 000 000,X-linked recessive,Infancy,
364013,Unknown,Not applicable,"Antenatal, Neonatal",IHF
364033,Unknown,Not applicable,Childhood,Systemic EBV+ T-cell LPD of childhood
364039,-,Not applicable,"Adult, Childhood",HVLL
364055,Unknown,Autosomal recessive,"Childhood, Infancy",EOSRD
364043,-,"Multigenic/multifactorial, Not applicable",,ALK+ LBCL
364063,-,X-linked recessive,"Infancy, Neonatal",
364198,<1 / 1 000 000,Not applicable,"Adolescent, Adult",
364536,-, - ,,Primary osteodysplasia with micromelia
364531,-, - ,,"Primary osteodysplasia with progressive ossification of skin, skeletal muscle, fascia, tendons and ligaments"
364571,-, - ,,
364541,-, - ,,OPSD
364574,-, - ,,
364568,-, - ,,
364577,<1 / 1 000 000, - ,Neonatal,
364559,-, - ,,
364526,-, - ,,Primary osteodysplasia
364817,-, - ,,
364803,-, - ,,
369837,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",MCAHS type 3
369840,<1 / 1 000 000,Autosomal recessive,"Childhood, Infancy",LGMD2S
364820,-, - ,,
365563,-, - ,,
369861,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",SIFD syndrome
369886,Unknown,Not applicable,,2p21 contiguous gene deletion syndrome
369867,<1 / 1 000 000,Autosomal recessive,"Adult, All ages, Childhood",RI-CMT type C
369881,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Del(2)(p21) without cystinuria
369847,<1 / 1 000 000,Autosomal recessive,Childhood,
369894,-, - ,,
369852,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Congenital neutropenia-bone marrow fibrosis-nephromegaly syndrome
369891,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",MED13L-related intellectual disability syndrome
369873,Unknown,Autosomal recessive,"Infancy, Neonatal",
369902,-, - ,,
369897,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal","mtDNA depletion syndrome, encephalomyopathic form with variable craniofacial anomalies"
369929,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",
369913,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",COXPD17
369942,<1 / 1 000 000,X-linked recessive,"Infancy, Neonatal",Contiguous ABCD1 DXS1357E deletion syndrome
369920,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",PCH9
369939,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Severe motor and intellectual disabilities-sensorineural hearing loss-dystonia syndrome
369950,<1 / 1 000 000,"Not applicable, Unknown","Infancy, Neonatal",Der(8)t(8;12)
369955,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",CblJ defects
369962,<1 / 1 000 000,X-linked recessive,"Infancy, Neonatal","Combined defect in adenosylcobalamin and methylcobalamin synthesis, type cblX"
369999,Unknown,Autosomal dominant,"Infancy, Neonatal",
369970,<1 / 1 000 000,Autosomal recessive,Childhood,MMCAT syndrome
370006,-, - ,,
369979,<1 / 1 000 000, - ,"Infancy, Neonatal",
369992,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Congenital erythroderma-hypotrichosis-recurrent infections-multiple food allergies syndrome
370002,Unknown,Autosomal dominant,"Infancy, Neonatal",
370010,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
370019,-, - ,,
370046,<1 / 1 000 000,Not applicable,"Infancy, Neonatal",Aplasia cutis congenita-nevus sebaceus syndrome
370015,<1 / 1 000 000,Autosomal dominant,"Infancy, Neonatal",SEMDIST
370052,<1 / 1 000 000,Not applicable,Neonatal,Sebaceous nevus-CNS malformations-aplasia cutis congenital-limbal dermoid-pigmented nevus syndrome
370022,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",Poretti-Boltshauser syndrome
370034,Unknown,"Autosomal dominant, Autosomal recessive","Infancy, Neonatal",
370039,<1 / 1 000 000,"Not applicable, Unknown","Infancy, Neonatal",Schauder syndrome
370026,Unknown,Not applicable,All ages,AML with t(8;16)(p11;p13) translocation
370079,-, - ,"Infancy, Neonatal",Proximal dup(16)(p11.2)
370068,-, - ,,FACS
370059,-, - ,,Nevus epidermicus verrucosus with angiodysplasia and aneurysms
370091,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",OCA5
370088,<1 / 1 000 000,Autosomal recessive,"Infancy, Neonatal",
370103,<1 / 1 000 000,Autosomal recessive,"Adolescent, Adult",
370076,Unknown,Not applicable,"Antenatal, Infancy, Neonatal",
